User Href,Title,Rating,Date,Likes,Comments,Review
https://www.goodreads.com/user/show/4896491-sasha,This Book Is Gay,Rating 2 out of 5,"March 17, 2019",343 likes,3 comments,"Just to make that clear for people liking (and commenting on) this review:I did NOT give this book two stars because I think there is anything wrong with being part of the LGBTQIA+/MOGAI community.I gave it two stars because it claims to be inclusive but for the most part only covers issues that people who are gay/lesbian (and stick to binary genders and all the expectations society brings with them) have to deal with. I gave it two stars because I don't consider this book to be very inclusive, especially when it comes to non-binary people and/or those who are not gay or lesbian (i.e. bi or pan or ace or ...).So please refrain from commenting when all you intend to do is to suggest I read queerantagonistic books. Don't like this review. I'm not on your side, I don't agree with you and I honestly don't need your prejudices in my life.What I liked.It's an uplifting book. One message repeated over and over again is: ""Whoever you are, that's fine!"" Plus, there are lots of sections especially young people might find very useful - coming out, who to tell, how to tell, sex, STIs ... So, thumbs up for that.The BUT. It's a very big one.You're fine with that book if you're a gay boy/man. You got Grindr explained and are directly addressed throughout the whole book.If you're a lesbian girl/woman, it's ... okay. You won't get to know what the lesbian equivalent of Grindr is and mind you, dental dams are more important than Juno Dawson makes them seem to be, but otherwise it's okay. I guess.Any other identities ... well, you get the definitions for ""bisexual"", ""queer"", ""curious"", ""asexual"" and ""transgender"", but the one for bisexuality is extremely narrow and excludes most bisexual people, and if you're hoping for the acknowledgement of non-binary genders, you got the wrong book. Generally, the author often refers to differences as ""gay or straight"" (though not always) and lists any issues any sexual orientations other than homosexuality face as homophobia.Maybe Dawson wanted to simplify things. Maybe, but it doesn't make it right. And it doesn't explain this constant use of ""men and women"".What is particularly confusing is that there seem to be moments of light. E.g. after repeatedly implying that gender = genitals, it is mentioned that there is more to men than just penises or that not having any surgeries is fine ... only to continue as before. What irks me the most about it is that stuff like this is toxic. It's telling people: You're either a boy or a girl and if you want to ""become"" the ""opposite"" gender, then you need a penis or a vagina. Mentioning that this isn't actually true once or twice doesn't erase what has been spread before.Another passage is also rather telling. On page 214 it says:However, all people - gay or otherwise - must recognize that there is one universal truth of the universe:WE ALL WANT TO HAVE SEX WITH LOADS OF PEOPLE.Apparently, mentioning and defining asexuality at the beginning is enough and you don't have to acknowledge them again.So what now?The title is actually quite telling. This book is gay - and binary. And parts of it are great! But seeing that it even spreads misinformation when it comes to genders and some sexualities ... well, I can't recommend that.People have been asking for alternative titles you might read instead. I haven't read it yet myself, but The ABCs of LGBT+ has been recommended in the comments and it does sound great.Show more"
https://www.goodreads.com/user/show/4688700-dahlia,This Book Is Gay,Rating 2 out of 5,"June 24, 2015",96 likes,0,"This book is gay, and had it not claimed to be anything else, I think it would be a really, really excellent read. I'd still recommend it for cis gay boys, because I think there's a lot of great information there, and therefore, I'll give it two stars rather than one. But make no mistake - this book is for them. I don't know why the entirety of the spectrum is claimed to be covered in this book, because it isn't with anywhere near the type of depth, accuracy, or effort made for the others. It's ragingly binary, the information on different definitions under the trans umbrella includes things that are offensive and/or wrong; asexuality is barely touched upon and pretty patently ignored after its first mention (and also doesn't address anything on the spectrum, nor discuss (a)romanticism by name, though it is indeed stated that one can be in a romantic relationship while asexual, at least); and there is literally one cited expert on girl-on-girl sex, whose discussion can be boiled down to ""There's only fingering and oral, and I don't like oral."" There's also an incredibly shallow discussion on how to fight with people of different religions that literally put Judaism as a subset under the header of Islam, and then blamed Orthodox Jews for starting homophobia because Leviticus. (If you know me, you might have an idea why that'd rankle a bit on eleventy levels. If not, hi, I'm a really, really pro-LGBTQ Orthodox Jew who does indeed keep the laws of Leviticus mocked in this book.) So, yeah, I'd recommend this for cis gay boys with a massive grain of salt, hoping they seek info on the rest of the queer spectrum elsewhere.Show more"
https://www.goodreads.com/user/show/70763121-ashton,This Book Is Gay,Rating 1 out of 5,"December 5, 2021",85 likes,1 comment,"if i, as a sensitivity reader, was given this book to review, i would simply tell them to throw it away"
https://www.goodreads.com/user/show/46088881-reading-corner,This Book Is Gay,Rating 4 out of 5,"April 18, 2017",50 likes,0,"I really enjoyed reading this one especially because I finished it so quick.I thought the narrative was great as parts were funny and it felt like I was just being personally addressed.The book deals with many important topics in an informative,insightful and entertaining way.Also, it helped me view things differently like the need to always give ourselves labels and fulfil stereotypes isn't necessary.This was a nice,quick,enjoyable but informative read and I'd recommend it.Show more"
https://www.goodreads.com/user/show/50380608-alex,This Book Is Gay,Rating 1 out of 5,"December 23, 2015",42 likes,0,"Look. I really wanted to like this book. But I couldn’t get through a single page of it without wrinkling my nose at all the blatant transphobia from a book that claimed to speak for me. I started being wary on page two, with the whole “some men want to be women"" thing. Trans people don’t want to be another gender, they are, plain and simple. Imagine if I wrote gay men want to love boys. That looks absolutely ridiculous and homophobic; gay men do love boys. And trans people are they say they are. It gets way worse from there. I recall in the stereotypes section he said something akin to “of course gay men aren’t girls, they have penises!”. The basis of transphobic rhetoric, men are men because they have penises and women are women because of their vaginas: right in plain sight. Additionally, sexuality is only discussed in an attracted to men/attracted to women binary. The undertones of non binary people being unlovable is certainly there. I cannot explain how upset it makes me that other young trans people will this and think that they can never truly be their gender because this author, someone supposedly teaching them, is just spewing the same transphobic garbage they’ve heard all their life under the guise of fighting homophobia. And all the cisgender people who are giving this book full stars, thinking that he is representing the trans community perfectly. Sorry if this seems a little rude, I’m just tired of seeing such blatant transphobia perpetrated by people in the LGBT community. This book is the guide to being a cisgender gay man who sweeps everyone else under the rug. It is dangerous to have this information out there with mostly positive reviews when it is perpetrating systematic transphobia. Show more"
https://www.goodreads.com/user/show/28636277-juliana-zapata,This Book Is Gay,Rating 3 out of 5,"December 19, 2015",43 likes,0,"Cuando empecé este libro, no sabía con que me iba a encontrar, la verdad pensé que era un novela, una historia con personajes LGBT, pero resulta que no es así.Este libro es un manual, una guía para conocer y entender a la comunidad LGBT, creo que sería de mucha ayuda para alguien que esté buscando su identidad sexual o que necesite ayuda para ""salir del armario"". También sería de gran ayuda para amigos, familiares y especialmente padres que quieran entender mejor y ayudar a una persona cerca que esté pasando malos momentos por ser LGBTShow more"
https://www.goodreads.com/user/show/108913620-not-my-high,This Book Is Gay,Rating 1 out of 5,"December 1, 2022",38 likes,0,o bogowie.TW wszystko co bolesnego i nieodpowiedniego w mówieniu o queerowości
https://www.goodreads.com/user/show/4016097-eliana,This Book Is Gay,Rating 2 out of 5,"August 5, 2016",34 likes,0,"I was so prepared to love this book and recommend it to all my friends and buy a million copies of it to donate to my library.Unfortunately, while there were a few good parts (like the tips about coming out), this book was mostly a disappointment. It mostly focuses on cisgender gay men and their problems, and often throws trans people under the bus to make a sassy statement. Like, there are several times when the author says ""lesbians love vaginas!,"" which completely ignores the fact that not all women have vaginas, and not everyone with a vagina is a woman. And later, in the advice for trans people, the author says that ""people don't fall in love with genitalia,"" but she seems to not understand why it would be transphobic for her to equate body parts to gender identity.I also didn't like how in the safe sex section, she literally just says ""lesbians have a low risk of getting STIs"" and that's her whole section on safe sex between two people with vaginas.I also didn't like how in the religion section, it pretty much blames Jews for there being religious homophobia in the first place, and for some reason puts Judaism as a subcategory in the Muslim section (???????????????) and doesn't mention at all how many Jews are supportive of LGBTQ people (hint: it's a lot).Overall, I think I would MAYBE give this book to a cisgender gay boy to read, but only after heavily enforcing the idea that body parts=/=gender identity.Update: edited to reflect the fact that the author of this book now uses she/her pronouns.Show more"
https://www.goodreads.com/user/show/60866073-baba,This Book Is Gay,Rating 4 out of 5,"November 16, 2020",31 likes,0,"This book isn't really gay, it's just wonderful. It's essentially a whirlwind myth busting tour of the world of sexual orientation and gender identity. A must-read for anyone with concerns or just general interest around this continually evolving area.It's been so long since I sat down and read anything around these issues, seeing this splendidly titled rainbow book got me thinking it was time I read-up on where we are today and where we're heading. Dawson's smart-casual approach littered with humour as well hard cold facts is not only easily digestible it's a compulsive read. A must-read for all... and I mean all. 8 out of 12.Show more"
https://www.goodreads.com/user/show/7494844-laurel-the-suspected-bibliophile,This Book Is Gay,Rating 3 out of 5,"October 2, 2021",26 likes,0,"A fun, factual and frank discussion about what it means to be LGBT...but mostly G.I'm on the fence about this one. On the one hand, it was one of the first books that was widely published providing teens something of a how-to manual—what certain things mean, what it means to be gay, lesbian, bi or trans, what is the difference between gender, sex and sexuality, politics and law, navigating sex as part of the LGBT community, STI/Ds and HIV, and how to combat religious bigots. It does try to be inclusive.On the other hand, it is very skewed towards gay cis men, with lesbians and trans folk coming in a close second. While it does—briefly—mention ace, aro, pan and bisexual folks, the definitions feel dated and really show the vast amount of social change and awareness that has happened in the LGBTQIA+ community since 2013—particularly because this book barely mentions what it means to be nonbinary, agender, genderfluid, genderqueer, etc.It is very much focused on the binary of the gender spectrum, and while it does go into details of being trans, the trans and lesbian sections feel a lot...skimpier and less detailed than the sections talking about gay cis men. I did like that a lot of scientific research was included for trans folk, along with the various ways trans people express their sexuality, and that the emphasis of it all being valid and right.So.tl;dr—go in for a general this is almost everything overview of the LGBTQIA+ community, while being aware that lots has changed (for better and for worse) for queer folks, including societal norms, laws and political support, and definitions and understanding of gender, sex and sexuality.Show more"
